time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1708009871756459800,50.53845971679687,0.974086344242096,0.004286935552954674,-0.013956300914287567,0.22570498287677765,0.029128631576895714,-0.002051678951829672,-2.6861801147460938
1708009871775015400,50.557015380859376,0.9741753935813904,0.003757111495360732,-0.013396277092397213,0.22536370158195496,0.02779768407344818,-0.0012821023119613528,-2.6868975162506104
1708009871793558000,50.57555810546875,0.9744515419006348,0.004033490549772978,-0.013859669677913189,0.2241334319114685,0.028823262080550194,-0.0016480523627251387,-2.68941330909729
1708009871812126700,50.594126708984376,0.974481463432312,0.004517171997576952,-0.01498695369809866,0.22392171621322632,0.031237153336405754,-0.0020919933449476957,-2.689830780029297
1708009871830669300,50.61266943359375,0.9742509126663208,0.003933267667889595,-0.015304451808333397,0.22491247951984406,0.031595297157764435,-0.0007796548889018595,-2.6878163814544678
1708009871849238000,50.63123803710938,0.9742866158485413,0.0030091055668890476,-0.014711315743625164,0.22481155395507812,0.03002355806529522,0.0007510851719416678,-2.6880526542663574
1708009871867780600,50.64978051757812,0.9745601415634155,0.00321416137740016,-0.015023932792246342,0.22359910607337952,0.030725659802556038,0.00045388893340714276,-2.6905345916748047
1708009871886349300,50.66834936523438,0.9746636152267456,0.003960741683840752,-0.016059746965765953,0.22306343913078308,0.03307873010635376,-0.000556096900254488,-2.6916089057922363
1708009871904892000,50.68689184570312,0.9743920564651489,0.0034708259627223015,-0.01653883419930935,0.22422003746032715,0.033793509006500244,0.0006527859368361533,-2.6892528533935547
1708009871923460400,50.70546044921875,0.9743319749832153,0.002895612735301256,-0.015654481947422028,0.22455252707004547,0.031811151653528214,0.0013879314064979553,-2.688588857650757
1708009871942016300,50.724016357421874,0.974663496017456,0.002772305626422167,-0.015469594858586788,0.22312356531620026,0.03139762580394745,0.0014991328353062272,-2.6915245056152344
1708009871960558800,50.74255883789063,0.974807620048523,0.0037383707240223885,-0.01657523401081562,0.22239913046360016,0.03398469090461731,0.00008425069972872734,-2.692979097366333
