time,seconds_elapsed,dBFS
1708009860826000000,39.607999755859375,-48
1708009860943000000,39.725,-61
1708009861059000000,39.841,-47
1708009861177000000,39.959,-62
1708009861293000000,40.075,-55
1708009861409000000,40.191,-53
1708009861525000000,40.307,-50
1708009861643000000,40.425,-55
1708009861753000000,40.535,-39
1708009861869000000,40.651,-47
1708009861986000000,40.76799975585938,-42
1708009862103000000,40.885,-46
1708009862219000000,41.001,-48
1708009862337000000,41.119,-46
1708009862453000000,41.235,-50
1708009862570000000,41.351999755859374,-42
1708009862686000000,41.468000244140626,-46
1708009862797000000,41.579,-47
1708009862915000000,41.697,-47
1708009863032000000,41.814,-45
1708009863149000000,41.931,-48
1708009863264000000,42.046,-44
1708009863381000000,42.163,-43
1708009863499000000,42.281,-43
1708009863613000000,42.395,-44
1708009863731000000,42.513,-40
1708009863842000000,42.62399975585937,-46
1708009863959000000,42.741,-37
1708009864075000000,42.857,-31
1708009864192000000,42.974,-34
1708009864308000000,43.09,-40
1708009864426000000,43.207999755859376,-37
1708009864542000000,43.32400024414063,-39
1708009864659000000,43.441,-37
1708009864787000000,43.569,-36
1708009864902000000,43.68400024414063,-33
1708009865020000000,43.802,-35
1708009865136000000,43.918,-36
1708009865253000000,44.035,-38
1708009865370000000,44.15199975585937,-44
1708009865487000000,44.269,-41
1708009865603000000,44.385,-45
1708009865720000000,44.502,-40
1708009865831000000,44.613,-42
1708009865948000000,44.73,-39
1708009866065000000,44.847,-45
1708009866178000000,44.95999975585938,-47
1708009866295000000,45.077,-53
1708009866413000000,45.195,-47
1708009866528000000,45.31,-47
1708009866645000000,45.427,-49
1708009866762000000,45.543999755859375,-45
1708009866875000000,45.657,-46
1708009866992000000,45.774,-41
1708009867109000000,45.891,-45
1708009867225000000,46.007,-43
1708009867341000000,46.123,-43
1708009867458000000,46.23999975585937,-45
1708009867575000000,46.357,-42
1708009867691000000,46.473,-43
1708009867807000000,46.589,-46
1708009867919000000,46.701,-41
1708009868037000000,46.819,-44
1708009868152000000,46.934,-42
1708009868269000000,47.051,-43
1708009868387000000,47.169,-38
1708009868502000000,47.28400024414063,-36
1708009868620000000,47.402,-38
1708009868736000000,47.518,-36
1708009868847000000,47.629,-38
1708009868965000000,47.747,-35
1708009869080000000,47.862,-33
1708009869197000000,47.979,-39
1708009869315000000,48.097,-37
1708009869431000000,48.213,-30
1708009869547000000,48.329,-36
1708009869664000000,48.446,-33
1708009869780000000,48.562,-35
1708009869892000000,48.674,-37
1708009870008000000,48.79,-39
1708009870125000000,48.907,-40
1708009870241000000,49.023,-37
1708009870358000000,49.14000024414062,-43
1708009870476000000,49.258,-35
1708009870591000000,49.373,-40
1708009870708000000,49.49,-34
